connector_id,connector_name,platform,source,author,title,description,content,url,published_at,input_keyword,matched_term,sentiment,language,collected_at,keyword,clean_title,clean_description,clean_content,title_word_count,description_word_count,content_word_count,title_char_count,description_char_count,content_char_count,estimated_read_time_min,sentiment_score,sentiment_label,subjectivity_score,article_age_days,article_age_hours,keyword_found_in_title,keyword_found_in_description,keyword_found_in_content,keyword_frequency,keyword_density,hashtags,hashtag_count,mentions,mention_count,domain,brand_mentions,brand_count,has_author,has_description,has_content,completeness_score,content_quality_score
12,News API Coca cola,newsapi,PRNewswire,,2026 World Cup: Global Health Leaders Demand FIFA End its Coca-Cola Partnership - Vital Strategies,"NEW YORK, June 4, 2026 /PRNewswire/ -- A formidable coalition of global health experts and advocates is demanding FIFA commit to ending its partnership with Coca-Cola by 2030. The Kick Big Soda Out movement first targeted FIFA during the 2025 Club World Cup i…","NEW YORK, June 4, 2026 /PRNewswire/ -- A formidable coalition of global health experts and advocates is demanding FIFA commit to ending its partnership with Coca-Cola by 2030. The Kick Big Soda Out m… [+2370 chars]",https://www.prnewswire.com/news-releases/2026-world-cup-global-health-leaders-demand-fifa-end-its-coca-cola-partnership--vital-strategies-302786183.html,2026-06-04T04:01:00Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:20.987135+05:30,coca-cola,2026 World Cup: Global Health Leaders Demand FIFA End its Coca-Cola Partnership - Vital Strategies,"NEW YORK, June 4, 2026 /PRNewswire/ -- A formidable coalition of global health experts and advocates is demanding FIFA commit to ending its partnership with Coca-Cola by 2030. The Kick Big Soda Out movement first targeted FIFA during the 2025 Club World Cup i…","NEW YORK, June 4, 2026 /PRNewswire/ -- A formidable coalition of global health experts and advocates is demanding FIFA commit to ending its partnership with Coca-Cola by 2030. The Kick Big Soda Out m… [+2370 chars]",15,44,36,98,260,214,0.18,0.0455,Neutral,0.1848,1,26.39,True,True,True,1,2.78,,0,,0,prnewswire.com,coca-cola,1,False,True,True,75,100
12,News API Coca cola,newsapi,PRNewswire,,2026 World Cup: Global Health Leaders Demand FIFA End its Coca-Cola Partnership - Vital Strategies,"NEW YORK, June 4, 2026 /PRNewswire/ -- A formidable coalition of global health experts and advocates is demanding FIFA commit to ending its partnership with Coca-Cola by 2030. The Kick Big Soda Out movement first targeted FIFA during the 2025 Club World Cup i…","NEW YORK, June 4, 2026 /PRNewswire/ -- A formidable coalition of global health experts and advocates is demanding FIFA commit to ending its partnership with Coca-Cola by 2030. The Kick Big Soda Out m… [+2513 chars]",https://www.prnewswire.com/news-releases/2026-world-cup-global-health-leaders-demand-fifa-end-its-coca-cola-partnership--vital-strategies-302786168.html,2026-06-04T04:01:00Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:20.996439+05:30,coca-cola,2026 World Cup: Global Health Leaders Demand FIFA End its Coca-Cola Partnership - Vital Strategies,"NEW YORK, June 4, 2026 /PRNewswire/ -- A formidable coalition of global health experts and advocates is demanding FIFA commit to ending its partnership with Coca-Cola by 2030. The Kick Big Soda Out movement first targeted FIFA during the 2025 Club World Cup i…","NEW YORK, June 4, 2026 /PRNewswire/ -- A formidable coalition of global health experts and advocates is demanding FIFA commit to ending its partnership with Coca-Cola by 2030. The Kick Big Soda Out m… [+2513 chars]",15,44,36,98,260,214,0.18,0.0455,Neutral,0.1848,1,26.39,True,True,True,1,2.78,,0,,0,prnewswire.com,coca-cola,1,False,True,True,75,100
12,News API Coca cola,newsapi,Forbes,"Clemente Lisi, Contributor, 
 Clemente Lisi, Contributor
 https://www.forbes.com/sites/clementelisi/",Trophy Tour Highlights Coca-Cola’s Enduring FIFA Partnership,The beverage giant is leveraging soccer's biggest stage to connect with billions of fans as the countdown to tournament continues.,"The FIFA World Cup Trophy is displayed during the Los Angeles stop of The FIFA World Cup 26 Trophy Tour by Coca-Cola at LA Live in Los Angeles on March 24, 2026. (Photo by Frederic J. Brown / AFP via… [+6379 chars]",https://www.forbes.com/sites/clementelisi/2026/06/03/world-cup-trophy-tour-highlights-coca-colas-enduring-fifa-partnership/,2026-06-03T19:26:45Z,coca-cola,coca-cola,Neutral,en,2026-06-05T10:14:20.998193+05:30,coca-cola,Trophy Tour Highlights Coca-Cola’s Enduring FIFA Partnership,The beverage giant is leveraging soccer's biggest stage to connect with billions of fans as the countdown to tournament continues.,"The FIFA World Cup Trophy is displayed during the Los Angeles stop of The FIFA World Cup 26 Trophy Tour by Coca-Cola at LA Live in Los Angeles on March 24, 2026. (Photo by Frederic J. Brown / AFP via… [+6379 chars]",7,20,42,60,130,214,0.21,0.1364,Positive,0.5,1,34.96,True,False,True,1,2.38,,0,,0,forbes.com,coca-cola,1,True,True,True,100,100
12,News API Coca cola,newsapi,AdAge.com,E.j. Schultz,Coca-Cola agency review pits WPP against Publicis,"The beverage giant is putting its global media, data and technology business in play.",Your Shortcut to Smarter Insights,https://adage.com/agencies/accounts-in-review/aa-coca-cola-media-data-technology-publicis-wpp/,2026-06-03T19:15:56Z,coca-cola,coca-cola,Neutral,en,2026-06-05T10:14:20.999189+05:30,coca-cola,Coca-Cola agency review pits WPP against Publicis,"The beverage giant is putting its global media, data and technology business in play.",Your Shortcut to Smarter Insights,7,14,5,49,85,33,0.02,0.0,Neutral,0.0,1,35.14,True,False,False,0,0.0,,0,,0,adage.com,coca-cola,1,True,True,True,100,50
12,News API Coca cola,newsapi,The Times of India,ET Bureau,"Coca-Cola uncaps IPO plans for India bottling business, eyes 2027 listing","The Coca-Cola Company is preparing to take its India bottling business, Hindustan Coca-Cola Holdings (HCCH), public in a significant IPO expected to raise over $1 billion. The listing, likely in 2027, aims to value HCCH at over $10 billion, with Coca-Cola ret…","New Delhi: The Coca-Cola Company is preparing to take its India bottling business public in one of the biggest multinational listings in recent years, with the offering expected to raise well over $1… [+2824 chars]",https://economictimes.indiatimes.com/markets/ipos/fpos/coca-cola-plans-over-1-billion-india-bottling-ipo-eyes-2027-listing/articleshow/131473700.cms,2026-06-03T00:56:11Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:21.002904+05:30,coca-cola,"Coca-Cola uncaps IPO plans for India bottling business, eyes 2027 listing","The Coca-Cola Company is preparing to take its India bottling business, Hindustan Coca-Cola Holdings (HCCH), public in a significant IPO expected to raise over $1 billion. The listing, likely in 2027, aims to value HCCH at over $10 billion, with Coca-Cola ret…","New Delhi: The Coca-Cola Company is preparing to take its India bottling business public in one of the biggest multinational listings in recent years, with the offering expected to raise well over $1… [+2824 chars]",11,42,35,73,260,214,0.18,0.0091,Neutral,0.2928,2,53.47,True,True,True,1,2.86,,0,,0,indiatimes.com,coca-cola,1,True,True,True,100,100
12,News API Coca cola,newsapi,Medical Daily,Dorothy Brooks,"San Francisco Sues Coca-Cola, Kraft Heinz, and 8 Food Giants Over 'Addictive' Products","In one of the most aggressive legal moves ever taken by a U.S. city against the food industry, San Francisco City Attorney David Chiu filed a landmark lawsuit in San Francisco Superior Court, accusing ten of America's most powerful food and beverage manufactu…","In one of the most aggressive legal moves ever taken by a U.S. city against the food industry, San Francisco City Attorney David Chiu filed a landmark lawsuit in San Francisco Superior Court, accusin… [+5721 chars]",https://www.medicaldaily.com/san-francisco-sues-coca-cola-kraft-heinz-8-food-giants-over-addictive-products-475483,2026-06-02T15:22:46Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:21.004578+05:30,coca-cola,"San Francisco Sues Coca-Cola, Kraft Heinz, and 8 Food Giants Over 'Addictive' Products","In one of the most aggressive legal moves ever taken by a U.S. city against the food industry, San Francisco City Attorney David Chiu filed a landmark lawsuit in San Francisco Superior Court, accusing ten of America's most powerful food and beverage manufactu…","In one of the most aggressive legal moves ever taken by a U.S. city against the food industry, San Francisco City Attorney David Chiu filed a landmark lawsuit in San Francisco Superior Court, accusin… [+5721 chars]",13,43,36,86,260,214,0.18,0.4667,Positive,0.5333,2,63.03,True,False,False,0,0.0,,0,,0,medicaldaily.com,coca-cola,1,True,True,True,100,80
12,News API Coca cola,newsapi,Yahoo Entertainment,,The Coca-Cola Company readies listing of India bottler,,"If you click 'Accept all', we and our partners, including 247 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_57358d78-47e2-4bf9-8c06-47530dcbb023,2026-06-02T13:51:39Z,coca-cola,coca-cola,Neutral,en,2026-06-05T10:14:21.007298+05:30,coca-cola,The Coca-Cola Company readies listing of India bottler,,"If you click 'Accept all', we and our partners, including 247 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",8,0,38,54,0,214,0.19,-0.125,Negative,0.375,2,64.55,True,False,False,0,0.0,,0,,0,yahoo.com,coca-cola,1,False,False,True,50,80
12,News API Coca cola,newsapi,The Times of India,Team Global,"In 1888, a pharmacist’s syrup met carbonated water by chance which made Coca-Cola a global drink","Coca-Cola's origin story is more than just chance. Pharmacist John Pemberton created his syrup during an era of medicinal tonics. The drink's popularity grew through soda fountains, which were popular gathering spots. Pemberton also developed an alcohol-free …","Before Coca-Cola became one of the most recognized brands globally, it began as a syrup made by a pharmacist named John Pemberton, when medicine, drinks, and merchandising often found themselves behi… [+4899 chars]",https://economictimes.indiatimes.com/news/international/us/in-1888-a-pharmacists-syrup-met-carbonated-water-by-chance-which-made-coca-cola-a-global-drink/articleshow/131462121.cms,2026-06-02T10:55:18Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:21.010030+05:30,coca-cola,"In 1888, a pharmacist’s syrup met carbonated water by chance which made Coca-Cola a global drink","Coca-Cola's origin story is more than just chance. Pharmacist John Pemberton created his syrup during an era of medicinal tonics. The drink's popularity grew through soda fountains, which were popular gathering spots. Pemberton also developed an alcohol-free …","Before Coca-Cola became one of the most recognized brands globally, it began as a syrup made by a pharmacist named John Pemberton, when medicine, drinks, and merchandising often found themselves behi… [+4899 chars]",16,38,33,96,260,214,0.16,0.25,Positive,0.25,2,67.48,True,True,True,1,3.03,,0,,0,indiatimes.com,coca-cola,1,True,True,True,100,100
12,News API Coca cola,newsapi,The Times of India,Ratna Bhushan,Coca-Cola announces plans to list its largest bottler Hindustan Coca-Cola Holdings (HCCH),"Coca-Cola is exploring a public listing in India for the parent company of its largest bottler, Hindustan Coca-Cola Holdings (HCCH), with a potential 2027 debut on Indian stock exchanges. This move aims to complete the refranchising of HCCH and position it fo…","CocaCola Company is exploring a public listing in India for Hindustan CocaCola Holdings Pvt Ltd (HCCH), parent company of its largest bottler in India Hindustan CocaCola Beverages (HCCB), the Atlanta… [+1600 chars]",https://economictimes.indiatimes.com/markets/stocks/news/coca-cola-announces-plans-to-list-its-largest-bottler-hindustan-coca-cola-holdings-hcch/articleshow/131454284.cms,2026-06-02T04:02:51Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:21.011734+05:30,coca-cola,Coca-Cola announces plans to list its largest bottler Hindustan Coca-Cola Holdings (HCCH),"Coca-Cola is exploring a public listing in India for the parent company of its largest bottler, Hindustan Coca-Cola Holdings (HCCH), with a potential 2027 debut on Indian stock exchanges. This move aims to complete the refranchising of HCCH and position it fo…","CocaCola Company is exploring a public listing in India for Hindustan CocaCola Holdings Pvt Ltd (HCCH), parent company of its largest bottler in India Hindustan CocaCola Beverages (HCCB), the Atlanta… [+1600 chars]",12,42,32,89,260,214,0.16,0.0,Neutral,0.0667,3,74.36,True,True,False,0,0.0,,0,,0,indiatimes.com,coca-cola,1,True,True,True,100,80
12,News API Coca cola,newsapi,BusinessLine,Meenakshi Verma Ambwani,Coca-Cola says it’s looking at listing HCCH on BSE,"The company said that this potential listing will be a significant milestone, completing the refranchising of HCCH and positioning it well to capitalise on the opportunities in the Indian market","Beverage major CocaCola said that it is looking at public listing of Hindustan CocaCola Holdings Pvt. Ltd., which is the parent company of Hindustan CocaCola Beverages Pvt. Ltd. (HCCB), in 2027. Thro… [+1993 chars]",https://www.thehindubusinessline.com/markets/coca-cola-says-its-looking-at-listing-hcch-on-bse/article71051056.ece,2026-06-02T03:46:32Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:21.013863+05:30,coca-cola,Coca-Cola says it’s looking at listing HCCH on BSE,"The company said that this potential listing will be a significant milestone, completing the refranchising of HCCH and positioning it well to capitalise on the opportunities in the Indian market","Beverage major CocaCola said that it is looking at public listing of Hindustan CocaCola Holdings Pvt. Ltd., which is the parent company of Hindustan CocaCola Beverages Pvt. Ltd. (HCCB), in 2027. Thro… [+1993 chars]",9,30,34,50,194,214,0.17,0.0312,Neutral,0.2833,3,74.63,True,False,False,0,0.0,,0,,0,thehindubusinessline.com,coca-cola,1,True,True,True,100,80
12,News API Coca cola,newsapi,The Times of India,Reuters,Coca-Cola explores listing of India bottling unit in 2027,"Coca-Cola is planning a major move in India. The beverage giant is preparing to list its Indian bottling unit, Hindustan Coca-Cola Holdings, on Indian stock exchanges by 2027. This move signals strong confidence in India's growth potential. Coca-Cola will ret…","Coca-Cola said on Monday it was exploring a potential initial public offering in India for Hindustan Coca-Cola Holdings, the parent of its largest bottler in the country.The beverage giant is prepari… [+1195 chars]",https://economictimes.indiatimes.com/markets/stocks/news/coca-cola-explores-listing-of-india-bottling-unit-in-2027/articleshow/131453938.cms,2026-06-02T03:29:46Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:21.015067+05:30,coca-cola,Coca-Cola explores listing of India bottling unit in 2027,"Coca-Cola is planning a major move in India. The beverage giant is preparing to list its Indian bottling unit, Hindustan Coca-Cola Holdings, on Indian stock exchanges by 2027. This move signals strong confidence in India's growth potential. Coca-Cola will ret…","Coca-Cola said on Monday it was exploring a potential initial public offering in India for Hindustan Coca-Cola Holdings, the parent of its largest bottler in the country.The beverage giant is prepari… [+1195 chars]",9,40,33,57,260,214,0.16,0.0,Neutral,0.5167,3,74.91,True,True,True,2,6.06,,0,,0,indiatimes.com,coca-cola,1,True,True,True,100,100
12,News API Coca cola,newsapi,BusinessLine,Reuters,Coca-Cola’s Indian bottling unit targets potential stock market debut in 2027,"Coca-Cola is exploring an IPO for Hindustan Coca-Cola Beverages in India, targeting a 2027 listing while considering a partial stake sale.","Coca-Cola said on Monday it
was exploring a potential initial public offering in India for
Hindustan Coca-Cola Beverages, the parent of its largest bottler
in the country.
The company is preparin… [+790 chars]",https://www.thehindubusinessline.com/markets/coca-colas-indian-bottling-unit-targets-potential-stock-market-debut-in-2027/article71050919.ece,2026-06-02T00:44:26Z,coca-cola,coca-cola,Negative,en,2026-06-05T10:14:21.017244+05:30,coca-cola,Coca-Cola’s Indian bottling unit targets potential stock market debut in 2027,"Coca-Cola is exploring an IPO for Hindustan Coca-Cola Beverages in India, targeting a 2027 listing while considering a partial stake sale.","Coca-Cola said on Monday it was exploring a potential initial public offering in India for Hindustan Coca-Cola Beverages, the parent of its largest bottler in the country. The company is preparin… [+790 chars]",11,21,33,77,138,209,0.16,0.0,Neutral,0.3556,3,77.67,True,True,True,2,6.06,,0,,0,thehindubusinessline.com,coca-cola,1,True,True,True,100,100
12,News API Coca cola,newsapi,Yanko Design,Ida Torres,Coca-Cola Just Turned Its Iconic Bottle Into Chopsticks,"Coca-Cola Just Turned Its Iconic Bottle Into ChopsticksIf you visit most parts of East Asia and Southeast Asia, you will find something on almost every dining table, whether it’s at home or...","If you visit most parts of East Asia and Southeast Asia, you will find something on almost every dining table, whether it’s at home or a public dining establishment: a pair of chopsticks. If you live… [+3555 chars]",https://www.yankodesign.com/2026/06/01/coca-cola-just-turned-its-iconic-bottle-into-chopsticks/,2026-06-01T17:20:11Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:21.020695+05:30,coca-cola,Coca-Cola Just Turned Its Iconic Bottle Into Chopsticks,"Coca-Cola Just Turned Its Iconic Bottle Into ChopsticksIf you visit most parts of East Asia and Southeast Asia, you will find something on almost every dining table, whether it’s at home or...","If you visit most parts of East Asia and Southeast Asia, you will find something on almost every dining table, whether it’s at home or a public dining establishment: a pair of chopsticks. If you live… [+3555 chars]",8,32,38,55,192,214,0.19,0.25,Positive,0.2833,3,85.07,True,True,False,0,0.0,,0,,0,yankodesign.com,coca-cola,1,True,True,True,100,80
12,News API Coca cola,newsapi,Yahoo Entertainment,,Is Coca-Cola (KO) the Safest Dividend Stock To Buy?,,"If you click 'Accept all', we and our partners, including 247 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_a445d4c0-61b2-409d-a86b-3ef72908ba78,2026-06-01T13:43:36Z,coca-cola,coca-cola,Neutral,en,2026-06-05T10:14:21.021988+05:30,coca-cola,Is Coca-Cola (KO) the Safest Dividend Stock To Buy?,,"If you click 'Accept all', we and our partners, including 247 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",9,0,38,51,0,214,0.19,-0.125,Negative,0.375,3,88.68,True,False,False,0,0.0,,0,,0,yahoo.com,coca-cola,1,False,False,True,50,80
12,News API Coca cola,newsapi,Yahoo Entertainment,,Why Warren Buffett Hasn’t Sold Coca-Cola Stock for Over 30 Years,,"If you click 'Accept all', we and our partners, including 247 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c97c3469-d640-4c82-93b3-2bea9b713d4b,2026-05-31T16:00:03Z,coca-cola,coca-cola,Neutral,en,2026-06-05T10:14:21.024278+05:30,coca-cola,Why Warren Buffett Hasn’t Sold Coca-Cola Stock for Over 30 Years,,"If you click 'Accept all', we and our partners, including 247 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",11,0,38,64,0,214,0.19,-0.125,Negative,0.375,4,110.41,True,False,False,0,0.0,,0,,0,yahoo.com,coca-cola,1,False,False,True,50,80
12,News API Coca cola,newsapi,Barchart.com,Neharika Jain,Is Coca-Cola Stock Underperforming the S&P 500?,"Coca-Cola has underperformed the S&P 500 recently, yet analysts remain highly optimistic about the stock’s prospects.","Valued at a market cap of $346 billion, The Coca-Cola Company (KO) is one of the world's largest non-alcoholic beverage corporations. The  Atlanta, Georgia-based company provides Trademark Coca-Cola,… [+2457 chars]",https://www.barchart.com/story/news/2219253/is-coca-cola-stock-underperforming-the-s-p-500,2026-05-30T20:58:53Z,coca-cola,coca-cola,Positive,en,2026-06-05T10:14:21.027904+05:30,coca-cola,Is Coca-Cola Stock Underperforming the S&P 500?,"Coca-Cola has underperformed the S&P 500 recently, yet analysts remain highly optimistic about the stock’s prospects.","Valued at a market cap of $346 billion, The Coca-Cola Company (KO) is one of the world's largest non-alcoholic beverage corporations. The Atlanta, Georgia-based company provides Trademark Coca-Cola,… [+2457 chars]",7,16,30,47,117,213,0.15,0.0,Neutral,0.0,5,129.42,True,True,True,2,6.67,,0,,0,barchart.com,coca-cola,1,True,True,True,100,100
12,News API Coca cola,newsapi,Iheart.com,Iheartradio,"Bozoma Saint John On Ghana & Kenyan Roots, Marketing Africa, Beyoncé, Boris Kodjoe, Apple, Pepsi","<p>Bozoma Saint John joins One54 Africa Podcast for an inspiring conversation about African identity, cultural pride, global marketing, and building a legacy that extends far beyond corporate success.</p> <p>Bozoma Saint John reflects on her Ghanaian roots an…","Speaker 1(00:00):You walked away from an eight figure that means ten plus.Speaker 2(00:03):Yes, it's in my math right, yes, yes, yes, andthat's cash without the stop darnth. Just to be clear,you need… [+94502 chars]",https://www.iheart.com/podcast/1119-one-54-podcast-297755886/episode/bozoma-saint-john-on-ghana-335696617/,2026-06-03T23:43:37Z,coke,pepsi,Positive,en,2026-06-05T10:14:21.805652+05:30,pepsi,"Bozoma Saint John On Ghana & Kenyan Roots, Marketing Africa, Beyoncé, Boris Kodjoe, Apple, Pepsi","<p>Bozoma Saint John joins One54 Africa Podcast for an inspiring conversation about African identity, cultural pride, global marketing, and building a legacy that extends far beyond corporate success.</p> <p>Bozoma Saint John reflects on her Ghanaian roots an…","Speaker 1(00:00):You walked away from an eight figure that means ten plus.Speaker 2(00:03):Yes, it's in my math right, yes, yes, yes, andthat's cash without the stop darnth. Just to be clear,you need… [+94502 chars]",15,37,34,96,260,215,0.17,0.1429,Positive,0.2679,1,30.68,True,False,False,0,0.0,,0,,0,iheart.com,pepsi,1,True,True,True,100,80
12,News API Coca cola,newsapi,Iheart.com,Iheartradio,"Bozoma Saint John On Ghanaian & Kenyan Roots, Marketing Africa, Beyoncé, Boris Kodjoe, Apple, Pepsi","Bozoma Saint John joins One54 Africa Podcast for an inspiring conversation about African identity, cultural pride, global marketing, and building a legacy that...","Available transcripts are automatically generated. Complete accuracy is not guaranteed.Speaker 1(00:00):You walked away from an eight figure that means ten plus.
Speaker 2(00:03):Yes, it's in my mat… [+94591 chars]",https://www.iheart.com/podcast/1119-one-54-podcast-297755886/episode/bozoma-saint-john-on-ghana-kenyan-roots-marketing-africa-beyonce-boris-kodjoe-apple-pepsi-335696617,2026-06-03T23:43:37Z,coke,pepsi,Positive,en,2026-06-05T10:14:21.808851+05:30,pepsi,"Bozoma Saint John On Ghanaian & Kenyan Roots, Marketing Africa, Beyoncé, Boris Kodjoe, Apple, Pepsi","Bozoma Saint John joins One54 Africa Podcast for an inspiring conversation about African identity, cultural pride, global marketing, and building a legacy that...","Available transcripts are automatically generated. Complete accuracy is not guaranteed.Speaker 1(00:00):You walked away from an eight figure that means ten plus. Speaker 2(00:03):Yes, it's in my mat… [+94591 chars]",15,23,29,99,162,214,0.14,0.1667,Positive,0.2667,1,30.68,True,False,False,0,0.0,,0,,0,iheart.com,pepsi,1,True,True,True,100,80
